mouse	phase	time in room1	time in room2	time in room3	time in room4
0065-0136661759	PHASE 1 dark	15587.85300	3213.45300	22954.41500	2838.48200
0065-0136661759	PHASE 1 light	50826.40100	3854.95900	23929.93900	6476.07700
0065-0136661759	PHASE 2 dark	90014.22700	6067.39100	24015.66400	8250.96400
0065-0136661759	PHASE 2 light	90367.89800	46598.40100	24174.04700	8457.37100
0065-0136661759	PHASE 3 dark	99472.32000	79158.86100	25890.33700	8469.20900
0065-0136661759	PHASE 3 light	108655.23300	110214.49400	26011.20400	8660.78200
0065-0136665886	PHASE 1 dark	122513.85100	115711.63100	44151.63100	12364.08200
0065-0136665886	PHASE 1 light	154903.74300	117201.24400	45610.80700	19828.42300
0065-0136665886	PHASE 2 dark	177966.88700	133349.35600	50861.25400	26444.95700
0065-0136665886	PHASE 2 light	178921.42900	161905.97600	51637.30500	26990.62300
0065-0136665886	PHASE 3 dark	186850.69900	195556.95400	53315.17400	28272.11100
0065-0136665886	PHASE 3 light	192340.46200	229802.29600	54028.25700	29097.85200
0065-0136671473	PHASE 1 dark	208709.36200	240498.32900	63734.22500	33575.21300
0065-0136671473	PHASE 1 light	242045.18100	241258.80200	64454.04500	36988.17600
0065-0136671473	PHASE 2 dark	263848.93700	257361.22100	68903.91300	43752.06000
0065-0136671473	PHASE 2 light	264959.61700	287996.89600	69827.65500	45080.60300
0065-0136671473	PHASE 3 dark	288797.03399	303393.97700	74028.57200	50039.60700
0065-0136671473	PHASE 3 light	297139.45999	329318.72000	74406.88600	51059.02300
0065-0136659459	PHASE 1 dark	318026.12299	335759.64300	86909.31500	56686.00900
0065-0136659459	PHASE 1 light	338596.05699	336568.46300	87581.10000	60225.45800
0065-0136659459	PHASE 2 dark	360121.67899	351175.31500	93632.49900	68190.50300
0065-0136659459	PHASE 2 light	361456.53299	382405.85100	94840.08100	69280.56300
0065-0136659459	PHASE 3 dark	388509.37299	392316.71100	99523.25000	74773.31700
0065-0136659459	PHASE 3 light	399311.07200	417580.28400	100483.04200	76222.82100
0065-0136660676	PHASE 1 dark	420943.50100	422800.71300	116482.02700	81092.74600
0065-0136660676	PHASE 1 light	452126.56700	423698.77200	117362.06800	84389.61300
0065-0136660676	PHASE 2 dark	472683.34900	437476.57500	127329.82700	90014.10000
0065-0136660676	PHASE 2 light	473511.96500	468332.80400	128440.09500	92221.69000
0065-0136660676	PHASE 3 dark	497335.70500	476877.12300	137747.59200	96243.76100
0065-0136660676	PHASE 3 light	502572.85900	507488.12400	139905.06900	98251.45700
0065-0136653169	PHASE 1 dark	515775.86400	510943.09400	158059.17200	101868.38400
0065-0136653169	PHASE 1 light	548714.41100	511811.53600	159038.83100	105188.90200
0065-0136653169	PHASE 2 dark	578288.35400	516429.92100	161631.19800	110586.84400
0065-0136653169	PHASE 2 light	579723.71800	555229.64500	162382.58800	112081.25000
0065-0136653169	PHASE 3 dark	607332.03100	562815.86900	166763.73200	119183.61400
0065-0136653169	PHASE 3 light	620166.44100	586789.97400	167273.30600	120502.21800
0065-0136670531	PHASE 1 dark	632550.92800	591660.31300	196186.44500	122381.39400
0065-0136670531	PHASE 1 light	663367.36100	592940.82600	196688.20600	126149.51900
0065-0136670531	PHASE 2 dark	696356.08400	605823.93600	197724.76600	130942.98100
0065-0136670531	PHASE 2 light	696906.55600	637683.25800	198215.85900	131490.59300
0065-0136670531	PHASE 3 dark	711081.31200	665939.21700	198839.20600	132944.77600
0065-0136670531	PHASE 3 light	720949.96800	693810.66100	198961.16400	132968.48800
0065-0136655780	PHASE 1 dark	743839.33000	699629.29200	205180.03300	138184.07900
0065-0136655780	PHASE 1 light	781261.17500	700443.48300	205662.44900	142008.04100
0065-0136655780	PHASE 2 dark	808820.47700	713989.89100	208514.68500	147744.09600
0065-0136655780	PHASE 2 light	809464.79400	747784.68400	209006.38300	147915.16400
0065-0136655780	PHASE 3 dark	824894.75400	777431.97200	211201.03600	149209.64100
0065-0136655780	PHASE 3 light	826271.98900	812160.31000	211972.89500	149465.22300
0065-0136667521	PHASE 1 dark	844252.17699	816887.38600	225088.99300	154955.34700
0065-0136667521	PHASE 1 light	879907.21399	818172.92100	226041.88299	158305.94000
0065-0136667521	PHASE 2 dark	908226.39899	831784.87700	228884.97399	164580.40600
0065-0136667521	PHASE 2 light	909159.35499	863797.86400	229355.69199	165577.47400
0065-0136667521	PHASE 3 dark	932224.17999	876942.29100	232687.51899	171279.46800
0065-0136667521	PHASE 3 light	943383.11099	903462.20700	233330.74499	173041.74400
0065-0136659288	PHASE 1 dark	969163.28199	910569.00800	240835.24700	179850.69000
0065-0136659288	PHASE 1 light	1000942.48799	911316.70300	241424.60299	182705.81200
0065-0136659288	PHASE 2 dark	1018841.26699	927144.19800	248117.46199	193598.18901
0065-0136659288	PHASE 2 light	1019141.92599	958695.86400	248526.11099	195411.31101
0065-0136659288	PHASE 3 dark	1037561.42799	976309.47200	252686.84699	201155.89200
