	Room	Start	End
0	3	1402913962.964	1402913968.877
1	4	1402913969.267	1402913973.182
2	1	1402913973.666	1402914013.093
3	2	1402914017.977	1402914028.152
4	1	1402914028.844	1402914044.118
5	2	1402914044.637	1402914048.763
6	3	1402914050.365	1402914053.878
7	4	1402914054.195	1402914076.283
8	1	1402914077.199	1402914090.607
9	2	1402914091.155	1402914139.238
10	1	1402914139.796	1402914144.685
11	4	1402914145.252	1402914153.713
12	3	1402914154.439	1402914161.326
13	2	1402914161.892	1402914169.607
14	3	1402914170.191	1402914183.147
15	2	1402914183.76	1402914189.796
16	1	1402914189.796	1402914194.037
17	4	1402914196.237	1402914200.661
18	3	1402914201.739	1402914223.211
19	2	1402914223.647	1402914227.001
20	1	1402914227.521	1402914251.341
21	2	1402914251.823	1402914275.819
22	3	1402914276.343	1402914280.842
23	4	1402914280.842	1402914299.722
24	1	1402914300.155	1402914319.431
25	2	1402914319.921	1402914326.662
26	1	1402914327.291	1402914331.18
27	4	1402914331.956	1402914374.396
28	3	1402914374.835	1402914380.165
29	2	1402914380.993	1402914456.166
30	1	1402914456.617	1402914458.831
31	1	1402914459.981	1402914476.108
32	2	1402914477.028	1402914480.879
33	3	1402914481.238	1402914487.093
34	3	1402914497.432	1402914508.619
35	2	1402914509.218	1402914515.095
36	1	1402914516.974	1402914530.537
37	2	1402914531.038	1402914555.735
38	1	1402914556.225	1402914558.732
39	4	1402914559.132	1402914574.87
40	3	1402914575.431	1402914581.112
41	2	1402914581.74	1402914598.656
42	3	1402914599.051	1402914603.763
43	4	1402914605.445	1402914608.519
44	1	1402914609.904	1402914618.021
45	4	1402914618.613	1402914705.3
46	3	1402914705.621	1402914730.118
47	4	1402914730.842	1402914734.064
48	1	1402914734.458	1402914742.041
49	2	1402914742.43	1402914760.065
50	1	1402914760.493	1402914773.776
51	4	1402914774.331	1402914791.017
52	3	1402914791.387	1402914798.912
53	3	1402914798.912	1402914801.771
54	3	1402914801.771	1402914804.104
55	3	1402914804.104	1402914815.533
56	4	1402914816.16	1402914841.417
57	1	1402914841.977	1402914859.114
58	2	1402914861.899	1402914888.097
59	1	1402914888.654	1402914898.773
60	4	1402914899.315	1402914923.761
61	3	1402914924.213	1402914930.417
62	2	1402914931.557	1402914933.768
63	1	1402914934.106	1402914963.75
64	4	1402914964.899	1402914970.697
65	1	1402914972.376	1402914975.395
66	1	1402914975.395	1402914978.424
67	3	1402914980.945	1402915006.537
68	2	1402915007.115	1402915036.514
69	1	1402915036.976	1402915091.833
70	4	1402915092.264	1402915126.825
71	3	1402915127.131	1402915130.724
72	2	1402915131.345	1402915146.13
73	1	1402915147.402	1402915167.371
74	2	1402915167.934	1402915177.016
75	3	1402915177.499	1402915191.786
76	4	1402915192.351	1402915198.756
77	4	1402915198.756	1402915256.16
78	1	1402915256.704	1402915277.873
79	4	1402915281.845	1402915288.738
80	3	1402915289.696	1402915323.031
81	3	1402915406.468	1402915409.803
82	4	1402915410.286	1402915413.188
83	1	1402915414.372	1402915429.967
84	2	1402915430.488	1402915433.747
85	1	1402915434.473	1402915436.66
86	4	1402915437.356	1402915456.218
87	1	1402915457.973	1402915461.009
88	2	1402915461.009	1402915476.611
89	3	1402915478.163	1402915486.71
90	2	1402915487.17	1402915506.132
91	3	1402915506.694	1402915531.983
92	2	1402915532.6	1402915546.159
93	1	1402915548.284	1402915587.091
94	4	1402915587.736	1402915590.427
95	3	1402915591.114	1402915595.125
96	3	1402915595.125	1402915609.859
97	4	1402915610.219	1402915621.918
98	1	1402915622.352	1402915628.389
99	2	1402915631.108	1402915645.761
100	3	1402915646.41	1402915658.197
101	4	1402915658.716	1402915677.902
102	1	1402915678.287	1402915745.338
103	1	1402915746.713	1402915752.688
104	4	1402915759.842	1402915762.1
105	3	1402915762.565	1402915785.178
106	4	1402915785.178	1402915821.208
107	1	1402915822.071	1402915825.135
108	2	1402915825.497	1402915837.674
109	3	1402915838.317	1402915849.384
110	4	1402915850.309	1402915862.751
111	1	1402915863.211	1402915876.992
112	2	1402915879.968	1402915910.288
113	1	1402915910.925	1402915930.638
114	2	1402915931.151	1402915942.605
115	2	1402915944.058	1402915947.241
116	3	1402915947.953	1402915960.431
117	4	1402915960.867	1402916018.326
118	3	1402916018.918	1402916026.885
119	2	1402916027.607	1402916030.398
120	1	1402916030.936	1402916034.38
121	1	1402916038.852	1402916097.332
122	2	1402916097.729	1402916154.523
123	3	1402916155.007	1402916182.251
124	4	1402916182.605	1402916186.742
125	1	1402916187.207	1402916190.019
126	1	1402916190.019	1402916213.583
127	4	1402916215.349	1402916312.284
128	3	1402916312.777	1402916317.63
129	2	1402916319.807	1402916332.39
130	1	1402916333.216	1402916421.784
131	4	1402916423.84	1402916427.553
132	3	1402916427.553	1402916432.25
133	2	1402916434.407	1402916463.989
134	1	1402916464.68	1402916473.417
135	4	1402916474.107	1402916476.263
136	4	1402916476.583	1402916497.665
137	1	1402916500.386	1402916508.644
138	2	1402916509.067	1402916537.246
139	1	1402916538.263	1402916553.746
140	4	1402916554.112	1402916559.446
141	3	1402916559.446	1402916594.155
142	4	1402916594.707	1402916601.144
143	4	1402916601.144	1402916673.413
144	3	1402916673.878	1402916678.071
145	2	1402916678.46	1402916740.069
146	1	1402916740.502	1402916744.039
147	4	1402916744.537	1402916749.306
148	3	1402916749.799	1402916786.425
149	4	1402916786.786	1402916790.283
150	1	1402916791.998	1402916798.608
151	2	1402916801.011	1402916804.225
152	3	1402916805.92	1402916808.588
153	3	1402916808.588	1402916834.068
154	2	1402916836.397	1402916923.245
155	1	1402916923.797	1402916929.81
156	4	1402916930.234	1402917002.322
157	3	1402917002.683	1402917013.865
158	2	1402917014.686	1402917090.324
159	3	1402917090.751	1402917094.953
160	4	1402917095.708	1402917122.671
161	1	1402917123.955	1402917233.919
162	4	1402917234.274	1402917238.15
163	3	1402917238.616	1402917242.417
164	2	1402917242.814	1402917248.836
165	2	1402917264.219	1402917277.266
166	1	1402917279.628	1402917298.112
167	2	1402917298.704	1402917304.139
168	3	1402917304.139	1402917307.936
169	4	1402917308.388	1402917312.585
170	1	1402917314.425	1402917357.655
171	1	1402917366.106	1402917368.982
172	1	1402917368.982	1402917376.874
173	4	1402917377.371	1402917380.464
174	3	1402917381.845	1402917386.751
175	2	1402917389.569	1402917401.022
176	1	1402917449.774	1402917452.408
177	1	1402917461.707	1402917464.216
178	4	1402917464.486	1402917478.817
179	3	1402917480.267	1402917483.462
180	4	1402917483.816	1402917486.703
181	1	1402917487.878	1402917490.019
182	4	1402917490.344	1402917502.682
183	4	1402917502.682	1402917511.491
184	1	1402917511.875	1402917517.223
185	2	1402917517.613	1402917522.793
186	3	1402917523.257	1402917538.195
187	4	1402917538.576	1402917541.105
188	1	1402917541.495	1402917558.555
189	1	1402917558.555	1402917565.262
190	2	1402917566.478	1402917572.66
191	1	1402917573.489	1402917632.317
192	4	1402917632.644	1402917665.611
193	1	1402917666.043	1402917668.136
194	2	1402917670.694	1402917800.171
195	3	1402917800.565	1402917810.495
196	4	1402917810.922	1402917828.373
197	1	1402917828.731	1402917844.425
198	2	1402917847.48	1402917850.659
199	1	1402917864.764	1402917931.97
200	4	1402917932.451	1402917955.777
201	3	1402917956.235	1402917983.591
202	2	1402917984.051	1402918051.83
203	3	1402918052.282	1402918084.938
204	3	1402918084.938	1402918091.778
205	4	1402918092.182	1402918095.63
206	1	1402918104.302	1402918137.363
207	2	1402918137.796	1402918163.507
208	3	1402918164.157	1402918172.03
209	4	1402918172.5	1402918175.906
210	1	1402918177.473	1402918224.073
211	4	1402918224.465	1402918281.381
212	3	1402918281.719	1402918284.272
213	2	1402918284.928	1402918379.799
214	3	1402918381.336	1402918386.212
215	4	1402918386.781	1402918389.749
216	1	1402918390.083	1402918402.248
217	2	1402918402.552	1402918427.658
218	3	1402918428.081	1402918456.965
219	4	1402918471.689	1402918476.354
220	4	1402918476.354	1402918480.213
221	3	1402918480.831	1402918558.98
222	2	1402918560.915	1402918572.441
223	1	1402918572.998	1402918576.586
224	4	1402918577.014	1402918580.165
225	3	1402918580.532	1402918591.622
226	3	1402918596.24	1402918651.859
227	2	1402918652.321	1402918681.49
228	3	1402918682.387	1402918685.746
229	4	1402918686.538	1402918692.751
230	1	1402918696.759	1402918715.073
231	2	1402918716.56	1402918720.379
232	2	1402918720.379	1402918723.55
233	1	1402918726.905	1402918730.985
234	2	1402918731.912	1402918734.34
235	4	1402918737.125	1402918739.316
236	3	1402918739.744	1402918746.718
237	2	1402918749.412	1402918752.182
238	1	1402918752.521	1402918755.998
239	4	1402918756.42	1402918758.661
240	3	1402918759.048	1402918761.638
241	2	1402918763.118	1402918767.405
242	3	1402918773.685	1402918813.733
243	4	1402918818.262	1402918850.639
244	1	1402918851.073	1402918867.927
245	4	1402918868.321	1402918870.672
246	3	1402918871.053	1402918877.139
247	2	1402918877.43	1402918898.443
248	1	1402918898.974	1402918946.578
249	4	1402918947.036	1402918955.671
250	3	1402918956.323	1402918959.536
251	2	1402918960.223	1402918962.987
252	3	1402918964.441	1402918969.84
253	3	1402918969.84	1402918975.388
254	4	1402918976.278	1402919004.154
255	4	1402919006.118	1402919110.622
256	3	1402919111.012	1402919114.43
257	2	1402919114.759	1402919122.45
258	1	1402919122.939	1402919140.656
259	2	1402919141.507	1402919147.688
260	1	1402919148.404	1402919173.262
261	2	1402919173.695	1402919177.033
262	2	1402919177.033	1402919282.073
263	3	1402919282.47	1402919297.964
264	4	1402919298.319	1402919398.196
265	1	1402919398.661	1402919447.201
266	2	1402919447.796	1402919450.825
267	3	1402919451.354	1402919467.914
268	4	1402919468.444	1402919474.946
269	1	1402919475.376	1402919515.859
270	4	1402919516.619	1402919533.182
271	1	1402919533.897	1402919563.315
272	2	1402919563.738	1402919576.208
273	4	1402919579.02	1402919582.533
274	3	1402919582.764	1402919584.889
275	3	1402919584.889	1402919592.879
276	2	1402919595.16	1402919597.3
277	1	1402919597.63	1402919603.235
278	4	1402919603.635	1402919612.149
279	3	1402919612.567	1402919618.559
280	4	1402919618.954	1402919623.297
281	1	1402919624.737	1402919626.946
282	2	1402919627.635	1402919631.43
283	3	1402919631.857	1402919636.777
284	4	1402919637.308	1402919642.145
285	1	1402919642.55	1402919680.382
286	1	1402919680.382	1402919684.616
287	4	1402919687.077	1402919699.927
288	3	1402919700.363	1402919703.838
289	2	1402919704.16	1402919733.25
290	3	1402919736.794	1402919755.845
291	4	1402919756.46	1402919760.04
292	1	1402919760.503	1402919763.666
293	1	1402919763.666	1402919767.916
294	1	1402919767.916	1402919785.472
295	4	1402919787.019	1402919792.993
296	2	1402919795.788	1402919821.619
297	3	1402919821.973	1402919824.097
298	4	1402919824.526	1402919827.251
299	1	1402919828.849	1402919831.853
300	3	1402919833.429	1402919841.18
301	4	1402919841.602	1402919891.762
302	3	1402919892.156	1402919895.912
303	4	1402919896.506	1402919901.045
304	1	1402919901.381	1402919972.505
305	2	1402919972.951	1402920017.415
306	3	1402920023.033	1402920034.279
307	2	1402920034.971	1402920165.632
308	1	1402920165.989	1402920169.624
309	4	1402920170.087	1402920189.063
