	Phase	Room	Time	Mouse One	Mouse Two
0	PHASE 1 dark	1	7225.67400097847	0065-0136651817	0065-0136653169
1	PHASE 1 light	1	25160.95400094986	0065-0136651817	0065-0136653169
2	PHASE 2 dark	1	16668.178000211716	0065-0136651817	0065-0136653169
3	PHASE 2 light	1	99.95300006866455	0065-0136651817	0065-0136653169
4	PHASE 3 dark	1	14650.783999681473	0065-0136651817	0065-0136653169
5	PHASE 3 light	1	9127.074000835419	0065-0136651817	0065-0136653169
6	PHASE 1 dark	2	571.7039997577667	0065-0136651817	0065-0136653169
7	PHASE 1 light	2	78.96299982070923	0065-0136651817	0065-0136653169
8	PHASE 2 dark	2	1196.291000366211	0065-0136651817	0065-0136653169
9	PHASE 2 light	2	31373.806000709534	0065-0136651817	0065-0136653169
10	PHASE 3 dark	2	3470.7220001220703	0065-0136651817	0065-0136653169
11	PHASE 3 light	2	18216.333999156952	0065-0136651817	0065-0136653169
12	PHASE 1 dark	3	8801.102000236511	0065-0136651817	0065-0136653169
13	PHASE 1 light	3	66.97499990463257	0065-0136651817	0065-0136653169
14	PHASE 2 dark	3	169.882000207901	0065-0136651817	0065-0136653169
15	PHASE 3 dark	3	845.1309998035431	0065-0136651817	0065-0136653169
16	PHASE 3 light	3	55.7020001411438	0065-0136651817	0065-0136653169
17	PHASE 1 dark	4	672.0670006275177	0065-0136651817	0065-0136653169
18	PHASE 1 light	4	342.35800075531006	0065-0136651817	0065-0136653169
19	PHASE 2 dark	4	1247.5380010604858	0065-0136651817	0065-0136653169
20	PHASE 2 light	4	750.319000005722	0065-0136651817	0065-0136653169
21	PHASE 3 dark	4	2575.5329999923706	0065-0136651817	0065-0136653169
22	PHASE 3 light	4	196.981999874115	0065-0136651817	0065-0136653169
23	PHASE 1 dark	1	9633.044998407364	0065-0136651817	0065-0136655780
24	PHASE 1 light	1	29060.857000350952	0065-0136651817	0065-0136655780
25	PHASE 2 dark	1	15492.148999452591	0065-0136651817	0065-0136655780
26	PHASE 2 light	1	128.97399997711182	0065-0136651817	0065-0136655780
27	PHASE 3 dark	1	6554.207999229431	0065-0136651817	0065-0136655780
28	PHASE 3 light	1	5577.272000074387	0065-0136651817	0065-0136655780
29	PHASE 1 dark	2	950.4989995956421	0065-0136651817	0065-0136655780
30	PHASE 1 light	2	105.96599984169006	0065-0136651817	0065-0136655780
31	PHASE 2 dark	2	2173.3570013046265	0065-0136651817	0065-0136655780
32	PHASE 2 light	2	33351.08700108528	0065-0136651817	0065-0136655780
33	PHASE 3 dark	2	10579.507999658585	0065-0136651817	0065-0136655780
34	PHASE 3 light	2	24228.68900036812	0065-0136651817	0065-0136655780
35	PHASE 1 dark	3	3031.829000234604	0065-0136651817	0065-0136655780
36	PHASE 1 light	3	37.7189998626709	0065-0136651817	0065-0136655780
37	PHASE 2 dark	3	211.47699880599976	0065-0136651817	0065-0136655780
38	PHASE 2 light	3	7.189000129699707	0065-0136651817	0065-0136655780
39	PHASE 3 dark	3	293.7009997367859	0065-0136651817	0065-0136655780
40	PHASE 3 light	3	4.26800012588501	0065-0136651817	0065-0136655780
41	PHASE 1 dark	4	805.5660011768341	0065-0136651817	0065-0136655780
42	PHASE 1 light	4	1209.2210004329681	0065-0136651817	0065-0136655780
43	PHASE 2 dark	4	1193.2129998207092	0065-0136651817	0065-0136655780
44	PHASE 2 light	4	9.296000003814697	0065-0136651817	0065-0136655780
45	PHASE 3 dark	4	392.5770001411438	0065-0136651817	0065-0136655780
46	PHASE 3 light	4	34.14300012588501	0065-0136651817	0065-0136655780
47	PHASE 1 dark	1	8739.88899922371	0065-0136651817	0065-0136659288
48	PHASE 1 light	1	28747.336000442505	0065-0136651817	0065-0136659288
49	PHASE 2 dark	1	11041.5200009346	0065-0136651817	0065-0136659288
50	PHASE 2 light	1	5.410000324249268	0065-0136651817	0065-0136659288
51	PHASE 3 dark	1	8018.4869992733	0065-0136651817	0065-0136659288
52	PHASE 3 light	1	7441.960000514984	0065-0136651817	0065-0136659288
53	PHASE 1 dark	2	1092.5929996967316	0065-0136651817	0065-0136659288
54	PHASE 1 light	2	57.723999977111816	0065-0136651817	0065-0136659288
55	PHASE 2 dark	2	2713.344999551773	0065-0136651817	0065-0136659288
56	PHASE 2 light	2	33385.75300073624	0065-0136651817	0065-0136659288
57	PHASE 3 dark	2	5624.923000097275	0065-0136651817	0065-0136659288
58	PHASE 3 light	2	19152.346000671387	0065-0136651817	0065-0136659288
59	PHASE 1 dark	3	2524.6219987869263	0065-0136651817	0065-0136659288
60	PHASE 1 light	3	56.0550000667572	0065-0136651817	0065-0136659288
61	PHASE 2 dark	3	758.8540008068085	0065-0136651817	0065-0136659288
62	PHASE 2 light	3	53.674999952316284	0065-0136651817	0065-0136659288
63	PHASE 3 dark	3	620.679000377655	0065-0136651817	0065-0136659288
64	PHASE 3 light	3	42.293999910354614	0065-0136651817	0065-0136659288
65	PHASE 1 dark	4	1154.8460006713867	0065-0136651817	0065-0136659288
66	PHASE 1 light	4	406.525999546051	0065-0136651817	0065-0136659288
67	PHASE 2 dark	4	2442.108001470566	0065-0136651817	0065-0136659288
68	PHASE 2 light	4	1149.2240002155304	0065-0136651817	0065-0136659288
69	PHASE 3 dark	4	1427.2609996795654	0065-0136651817	0065-0136659288
70	PHASE 3 light	4	240.87600016593933	0065-0136651817	0065-0136659288
71	PHASE 1 dark	1	7694.258999109268	0065-0136651817	0065-0136659459
72	PHASE 1 light	1	21863.430000543594	0065-0136651817	0065-0136659459
73	PHASE 2 dark	1	13101.358000516891	0065-0136651817	0065-0136659459
74	PHASE 2 light	1	50.28399968147278	0065-0136651817	0065-0136659459
75	PHASE 3 dark	1	13489.245999336243	0065-0136651817	0065-0136659459
76	PHASE 3 light	1	8269.179000139236	0065-0136651817	0065-0136659459
77	PHASE 1 dark	2	1549.3120012283325	0065-0136651817	0065-0136659459
78	PHASE 1 light	2	134.24700045585632	0065-0136651817	0065-0136659459
79	PHASE 2 dark	2	2804.92799949646	0065-0136651817	0065-0136659459
80	PHASE 2 light	2	31490.756000757217	0065-0136651817	0065-0136659459
